NAME_x,B02001_001E,B03002_003E,B03002_004E,B03002_012E,B03002_005E,B03002_006E,B03002_007E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B17001_002E,B25064_001E,B05001_002E,B05001_004E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B27001_002E,B27001_018E,B25003_001E,B25003_003E,B25003_002E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B08303_011E,B08303_012E,state,place,NAME_y,B08303_013E,B08301_003E,B08301_004E,B08301_011E,B08301_012E,B08301_013E,B23025_002E,B23025_005E,B23025_007E,B16001_001E,B16001_002E,B16001_003E,B21001_002E,B11005_001E,B11005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,NAME,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
"Coatsburg village, Illinois",180,180,0,0,0,0,0,14,17,20,0,0,0,55714,6,940,180,0,85,0,8,5,4,1,19,9,10,13,16,102,23,80,14,66,1,9,14,11,17,24,19,6,5,3,0,17,15261,"Coatsburg village, Illinois",0,101,7,0,0,0,118,7,30,,,,15,80,20,6,1,7,6,5,0,0,2,15,14,3,5,11,12,1,0,0,3,3,3,2,0,3,2,4,4,2,2,0,0,"Coatsburg village, Illinois",0,6,9,12,4,4,9,1,0,0,2,4,4,4,0,5
"Cobden village, Illinois",1018,598,0,408,0,0,0,107,67,81,44,10,2,38750,289,225,832,0,464,5,16,24,109,47,73,37,38,9,106,503,100,403,125,278,12,34,119,40,24,11,131,5,11,13,16,17,15300,"Cobden village, Illinois",0,349,53,3,0,0,465,13,415,,,,49,403,110,6,3,40,50,36,26,7,17,3,13,26,25,26,74,27,17,23,13,22,9,29,11,0,22,20,15,0,21,40,0,"Cobden village, Illinois",11,50,22,27,47,35,49,46,12,13,20,7,27,28,3,0
"Coffeen city, Illinois",640,632,0,0,8,0,0,98,26,39,3,2,0,35781,138,472,635,5,362,0,4,39,6,36,47,79,39,44,68,289,18,317,69,248,5,33,65,22,42,1,12,6,2,16,11,17,15352,"Coffeen city, Illinois",11,182,24,0,0,0,254,24,290,,,,39,317,71,18,5,6,14,14,0,5,6,59,36,10,8,11,7,9,6,14,9,9,13,7,9,14,24,16,17,4,0,11,13,"Coffeen city, Illinois",7,70,4,8,30,13,6,31,10,5,6,19,4,9,18,26
"Colchester city, Illinois",1347,1344,0,2,0,0,0,91,133,149,25,11,18,43942,243,706,1330,0,650,0,17,3,49,64,138,58,68,46,207,698,90,569,141,428,26,78,88,203,97,61,23,8,3,13,24,17,15378,"Colchester city, Illinois",18,588,22,11,0,0,748,70,368,,,,126,569,99,20,54,39,4,15,4,15,17,55,52,53,27,35,55,41,34,17,8,39,50,28,21,15,45,38,31,13,18,0,0,"Colchester city, Illinois",6,36,39,52,71,25,36,76,31,37,11,14,45,11,12,2
"Coleta village, Illinois",230,226,0,4,0,0,0,20,12,11,15,0,0,56875,10,-666666666,224,4,75,0,0,4,0,1,8,11,12,2,37,122,17,72,4,68,6,8,11,25,11,8,17,0,1,1,2,17,15469,"Coleta village, Illinois",20,102,2,0,0,0,117,6,45,,,,14,72,30,19,19,0,5,8,5,0,1,12,6,1,0,12,5,6,10,4,0,1,1,4,2,1,1,5,24,5,4,0,0,"Coleta village, Illinois",6,7,5,0,13,4,0,11,3,0,2,0,5,2,1,10
"Colfax village, Illinois",1088,1036,0,41,3,0,0,72,52,84,39,5,2,58889,88,777,1058,0,381,0,0,25,25,6,59,33,54,36,143,456,53,348,82,266,39,36,21,13,30,79,128,61,28,14,11,17,15495,"Colfax village, Illinois",8,416,27,0,0,0,543,34,260,,,,82,348,140,8,21,51,44,7,7,8,27,45,24,29,45,29,24,22,19,5,4,5,7,9,14,2,30,67,91,27,21,17,8,"Colfax village, Illinois",8,29,31,42,41,24,41,12,7,13,11,31,14,15,18,34
"Collinsville city, Illinois",24489,18521,3455,1501,52,481,0,3121,1750,2940,1409,165,111,56250,3215,867,23119,282,11255,166,175,800,1591,1414,1385,1891,1143,812,1878,11257,1542,10479,3461,7018,163,1115,1094,1948,2006,1416,2023,323,789,785,373,17,15599,"Collinsville city, Illinois",83,10841,717,160,54,0,13684,774,5947,,,,1455,10479,3047,716,631,875,423,228,30,147,234,1006,864,877,676,720,822,762,289,596,136,428,385,249,154,129,881,732,682,462,287,172,50,"Collinsville city, Illinois",632,1239,796,827,1007,948,585,1003,263,426,336,405,383,468,212,316
"Colona city, Illinois",5307,4550,17,630,0,8,0,599,352,619,101,135,0,64643,331,694,5299,0,2385,90,13,125,261,117,614,282,372,212,299,2446,335,2220,395,1825,72,370,94,330,790,473,488,79,142,89,67,17,15664,"Colona city, Illinois",37,2851,121,0,0,0,3225,119,1146,,,,359,2220,781,166,176,247,52,53,0,0,55,200,66,90,275,145,190,223,44,121,14,58,188,83,0,0,89,34,181,152,89,33,22,"Colona city, Illinois",166,267,81,39,282,235,207,349,127,137,99,138,44,37,0,53
"Colp village, Illinois",234,129,79,2,0,0,0,58,9,6,6,0,0,12344,132,-666666666,234,0,135,2,4,26,15,28,20,7,9,8,16,97,7,100,20,80,14,2,5,12,6,5,8,0,0,0,8,17,15807,"Colp village, Illinois",0,48,10,0,0,0,78,4,90,,,,12,100,47,11,7,7,2,0,0,0,0,11,11,7,7,2,5,13,4,0,0,3,2,2,0,3,13,7,21,0,0,0,2,"Colp village, Illinois",9,7,6,19,7,5,2,17,6,0,0,2,0,7,7,0
"Columbia city, Illinois",10692,10296,3,120,0,131,0,1040,622,2204,1213,234,182,107500,488,912,10494,0,4269,186,342,681,826,676,276,378,346,109,449,5244,637,4068,564,3504,338,445,514,606,662,407,1000,373,427,450,178,17,15833,"Columbia city, Illinois",67,5052,358,18,0,0,5999,132,1907,,,,620,4068,1725,495,344,579,172,110,27,11,70,235,408,377,461,324,313,447,181,124,119,101,67,119,70,127,478,301,459,154,32,22,0,"Columbia city, Illinois",24,287,428,528,289,495,318,396,223,84,167,90,157,115,191,173
