Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 1998,100TH REPRESENTATIVE,1,3718,GWENN,KLINGLER,,SANGAMON,10862,REPUBLICAN,REP
GP 1998,100TH REPRESENTATIVE,1,3719,DAVE,DeFRATIES,,SANGAMON,3784,DEMOCRATIC,DEM
GP 1998,101ST REPRESENTATIVE,1,3722,JULIE A.,CURRY,,MOULTRIE,1709,DEMOCRATIC,DEM
GP 1998,101ST REPRESENTATIVE,1,3722,JULIE A.,CURRY,,PIATT,732,DEMOCRATIC,DEM
GP 1998,101ST REPRESENTATIVE,1,3722,JULIE A.,CURRY,,CHAMPAIGN,277,DEMOCRATIC,DEM
GP 1998,101ST REPRESENTATIVE,1,3722,JULIE A.,CURRY,,COLES,104,DEMOCRATIC,DEM
GP 1998,101ST REPRESENTATIVE,1,3722,JULIE A.,CURRY,,DOUGLAS,69,DEMOCRATIC,DEM
GP 1998,101ST REPRESENTATIVE,1,3722,JULIE A.,CURRY,,MACON,5946,DEMOCRATIC,DEM
GP 1998,102ND REPRESENTATIVE,1,3723,N. DUANE,NOLAND,,CHRISTIAN,66,REPUBLICAN,REP
GP 1998,102ND REPRESENTATIVE,1,3723,N. DUANE,NOLAND,,CUMBERLAND,1227,REPUBLICAN,REP
GP 1998,102ND REPRESENTATIVE,1,3723,N. DUANE,NOLAND,,MACON,4434,REPUBLICAN,REP
GP 1998,102ND REPRESENTATIVE,1,3723,N. DUANE,NOLAND,,EFFINGHAM,931,REPUBLICAN,REP
GP 1998,102ND REPRESENTATIVE,1,3723,N. DUANE,NOLAND,,SHELBY,1314,REPUBLICAN,REP
GP 1998,103RD REPRESENTATIVE,1,3724,RICHARD J. (RICK),"WINKEL, JR.",,CHAMPAIGN,5580,REPUBLICAN,REP
GP 1998,103RD REPRESENTATIVE,1,3724,RICHARD J. (RICK),"WINKEL, JR.",,FORD,1056,REPUBLICAN,REP
GP 1998,103RD REPRESENTATIVE,1,3725,KATHLEEN,ENNEN,,CHAMPAIGN,3303,DEMOCRATIC,DEM
GP 1998,103RD REPRESENTATIVE,1,3725,KATHLEEN,ENNEN,,FORD,132,DEMOCRATIC,DEM
GP 1998,104TH REPRESENTATIVE,1,3726,TIMOTHY V.,JOHNSON,,CHAMPAIGN,5213,REPUBLICAN,REP
GP 1998,104TH REPRESENTATIVE,1,3726,TIMOTHY V.,JOHNSON,,DOUGLAS,1034,REPUBLICAN,REP
GP 1998,104TH REPRESENTATIVE,1,3726,TIMOTHY V.,JOHNSON,,FORD,1543,REPUBLICAN,REP
GP 1998,104TH REPRESENTATIVE,1,3727,MICHAEL W.,FRERICHS,,CHAMPAIGN,2754,DEMOCRATIC,DEM
GP 1998,104TH REPRESENTATIVE,1,3727,MICHAEL W.,FRERICHS,,DOUGLAS,520,DEMOCRATIC,DEM
GP 1998,104TH REPRESENTATIVE,1,3727,MICHAEL W.,FRERICHS,,FORD,77,DEMOCRATIC,DEM
GP 1998,105TH REPRESENTATIVE,1,3728,"WILLIAM B. ""BILL""",BLACK,,IROQUOIS,2582,REPUBLICAN,REP
GP 1998,105TH REPRESENTATIVE,1,3728,"WILLIAM B. ""BILL""",BLACK,,VERMILION,5763,REPUBLICAN,REP
GP 1998,106TH REPRESENTATIVE,1,3729,DALE A.,RIGHTER,,CLARK,1698,REPUBLICAN,REP
GP 1998,106TH REPRESENTATIVE,1,3729,DALE A.,RIGHTER,,COLES,4102,REPUBLICAN,REP
GP 1998,106TH REPRESENTATIVE,1,3729,DALE A.,RIGHTER,,DOUGLAS,158,REPUBLICAN,REP
GP 1998,106TH REPRESENTATIVE,1,3729,DALE A.,RIGHTER,,EDGAR,1556,REPUBLICAN,REP
GP 1998,106TH REPRESENTATIVE,1,3729,DALE A.,RIGHTER,,VERMILION,502,REPUBLICAN,REP
GP 1998,106TH REPRESENTATIVE,1,3730,CAROLYN BROWN,HODGE,,CLARK,1417,DEMOCRATIC,DEM
