Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,HENRY,7013,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MERCER,2737,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,KENDALL,11045,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,LAKE,77511,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,WINNEBAGO,32520,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,CALHOUN,729,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,ALEXANDER,948,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MARION,4978,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,WILLIAMSON,8856,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,VERMILION,9436,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,JACKSON,6109,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,WILL,65764,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,PULASKI,1129,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,SCHUYLER,1563,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,SCOTT,947,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,LAWRENCE,2569,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,LOGAN,4813,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,McLEAN,19701,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,GALLATIN,818,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,HANCOCK,3420,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,JEFFERSON,5227,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,CUMBERLAND,1807,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,DeWITT,2258,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,DuPAGE,147227,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,GRUNDY,5700,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,COOK,365335,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,BOND,2472,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,SANGAMON,32616,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,STARK,1114,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,ST. CLAIR,24772,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MONROE,5162,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,OGLE,7673,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,PUTNAM,951,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MASON,1887,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,KANE,52770,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MASSAC,2267,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,WARREN,2792,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,KNOX,7164,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MADISON,29644,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,PEORIA,22920,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,PIKE,2790,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,WABASH,2287,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MACON,13728,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,McHENRY,38394,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,MOULTRIE,1828,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,FRANKLIN,4519,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,FULTON,3912,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,LaSALLE,13173,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,ADAMS,9974,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,CHRISTIAN,4012,REPUBLICAN,REP
GE 2002,UNITED STATES SENATOR,1,6452,JIM,DURKIN,,FAYETTE,3387,REPUBLICAN,REP
