ID,Election,OfficeName,VoteFor,BallotGroup,OfficeSequence,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
1,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,ADAMS,2881,REPUBLICAN,REP
2,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,ALEXANDER,107,REPUBLICAN,REP
3,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,BOND,454,REPUBLICAN,REP
4,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,BOONE,2641,REPUBLICAN,REP
5,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,BROWN,198,REPUBLICAN,REP
6,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,BUREAU,1599,REPUBLICAN,REP
7,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CALHOUN,114,REPUBLICAN,REP
8,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CARROLL,952,REPUBLICAN,REP
9,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CASS,323,REPUBLICAN,REP
10,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CHAMPAIGN,7515,REPUBLICAN,REP
11,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CHRISTIAN,823,REPUBLICAN,REP
12,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CLARK,694,REPUBLICAN,REP
13,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CLAY,389,REPUBLICAN,REP
14,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CLINTON,1118,REPUBLICAN,REP
15,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,COLES,2349,REPUBLICAN,REP
16,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,COOK,112736,REPUBLICAN,REP
17,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CRAWFORD,768,REPUBLICAN,REP
18,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,CUMBERLAND,367,REPUBLICAN,REP
19,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,DeKALB,4201,REPUBLICAN,REP
20,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,DeWITT,1421,REPUBLICAN,REP
21,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,DOUGLAS,1242,REPUBLICAN,REP
22,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,DuPAGE,57015,REPUBLICAN,REP
23,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,EDGAR,920,REPUBLICAN,REP
24,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,EDWARDS,214,REPUBLICAN,REP
25,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,EFFINGHAM,1142,REPUBLICAN,REP
26,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,FAYETTE,636,REPUBLICAN,REP
27,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,FORD,949,REPUBLICAN,REP
28,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,FRANKLIN,892,REPUBLICAN,REP
29,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,FULTON,1023,REPUBLICAN,REP
30,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,GALLATIN,104,REPUBLICAN,REP
31,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,GREENE,481,REPUBLICAN,REP
32,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,GRUNDY,2065,REPUBLICAN,REP
33,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,HAMILTON,229,REPUBLICAN,REP
34,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,HANCOCK,1155,REPUBLICAN,REP
35,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,HARDIN,207,REPUBLICAN,REP
36,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,HENDERSON,194,REPUBLICAN,REP
37,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,HENRY,1598,REPUBLICAN,REP
38,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,IROQUOIS,1993,REPUBLICAN,REP
39,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,JACKSON,1332,REPUBLICAN,REP
40,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,JASPER,324,REPUBLICAN,REP
41,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,JEFFERSON,964,REPUBLICAN,REP
42,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,JERSEY,628,REPUBLICAN,REP
43,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,JoDAVIESS,1357,REPUBLICAN,REP
44,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,JOHNSON,604,REPUBLICAN,REP
45,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,KANE,19821,REPUBLICAN,REP
46,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,KANKAKEE,3320,REPUBLICAN,REP
47,GP 2012,PRESIDENT,1,A,1,17328,MITT,ROMNEY,,KENDALL,5029,REPUBLICAN,REP
