ID,Election,OfficeName,VoteFor,BallotGroup,OfficeSequence,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
1,GP 2018,COOK - 2ND SUBCIRCUIT - RHODES VACANCY,1,LC,230,23606,TOYA T.,HARVEY,,COOK,26395,DEMOCRATIC,DEM
2,GP 2018,COOK - 2ND SUBCIRCUIT - RHODES VACANCY,1,LC,230,23997,TIESHA L,SMITH,,COOK,19271,DEMOCRATIC,DEM
3,GP 2018,"COOK - 2ND SUBCIRCUIT - TURNER, JR. VACANCY",1,LC,240,24020,IESHIA,GRAY,,COOK,24584,DEMOCRATIC,DEM
4,GP 2018,"COOK - 2ND SUBCIRCUIT - TURNER, JR. VACANCY",1,LC,240,23741,TRAVIS,RICHARDSON,,COOK,20415,DEMOCRATIC,DEM
5,GP 2018,COOK - 2ND SUBCIRCUIT - WILLIS VACANCY,1,LC,250,23687,DEBRA A.,SEATON,,COOK,27133,DEMOCRATIC,DEM
6,GP 2018,COOK - 2ND SUBCIRCUIT - WILLIS VACANCY,1,LC,250,23399,SHEREE D.,HENRY,,COOK,14404,DEMOCRATIC,DEM
7,GP 2018,COOK - 2ND SUBCIRCUIT - WILLIS VACANCY,1,LC,250,24001,UBI,O'NEAL,,COOK,4222,DEMOCRATIC,DEM
8,GP 2018,COOK - 3RD SUBCIRCUIT - DELEHANTY VACANCY,1,LC,310,23601,PATRICK THOMAS,STANTON,,COOK,18152,DEMOCRATIC,DEM
9,GP 2018,COOK - 3RD SUBCIRCUIT - DELEHANTY VACANCY,1,LC,310,23549,MICHAEL,HAYES,,COOK,16070,DEMOCRATIC,DEM
10,GP 2018,COOK - 3RD SUBCIRCUIT - DELEHANTY VACANCY,1,LC,310,23836,KEVIN PATRICK,CUNNINGHAM,,COOK,20267,DEMOCRATIC,DEM
11,GP 2018,COOK - 13TH SUBCIRCUIT - CRANE VACANCY,1,LC,1310,23649,GARY WILLIAM,SEYRING,,COOK,10987,REPUBLICAN,REP
12,GP 2018,COOK - 13TH SUBCIRCUIT - CRANE VACANCY,1,LC,1310,23828,SUSANNE,GROEBNER,,COOK,7856,REPUBLICAN,REP
13,GP 2018,COOK - 13TH SUBCIRCUIT - CRANE VACANCY,1,LC,1310,23815,"KETKI ""KAY""",STEFFEN,,COOK,25762,DEMOCRATIC,DEM
14,GP 2018,COOK - 13TH SUBCIRCUIT - LAWRENCE VACANCY,1,LC,1320,23870,DANIEL PATRICK,FITZGERALD,,COOK,13780,REPUBLICAN,REP
15,GP 2018,COOK - 13TH SUBCIRCUIT - LAWRENCE VACANCY,1,LC,1320,23987,MICHAEL PERRY,GERBER,,COOK,5213,REPUBLICAN,REP
16,GP 2018,COOK - 13TH SUBCIRCUIT - LAWRENCE VACANCY,1,LC,1320,23977,SHANNON P.,O'MALLEY,,COOK,25189,DEMOCRATIC,DEM
17,GP 2018,"COOK - 15TH SUBCIRCUIT - SCULLY, JR. VACANCY",1,LC,1510,23422,ASHONTA,RICE-AKIWOWO,,COOK,20247,DEMOCRATIC,DEM
18,GP 2018,"COOK - 15TH SUBCIRCUIT - SCULLY, JR. VACANCY",1,LC,1510,23723,MICHAEL B.,BARRETT,,COOK,28836,DEMOCRATIC,DEM
19,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,GREENE,787,REPUBLICAN,REP
20,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,CUMBERLAND,1991,REPUBLICAN,REP
21,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,ADAMS,3903,REPUBLICAN,REP
22,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,JERSEY,1401,REPUBLICAN,REP
23,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,PIATT,3079,REPUBLICAN,REP
24,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,WOODFORD,4766,REPUBLICAN,REP
25,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,SCOTT,821,REPUBLICAN,REP
26,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,PIKE,1371,REPUBLICAN,REP
27,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,MORGAN,3935,REPUBLICAN,REP
28,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,MACON,6215,REPUBLICAN,REP
29,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,FORD,1493,REPUBLICAN,REP
30,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,CALHOUN,194,REPUBLICAN,REP
31,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,SANGAMON,13688,REPUBLICAN,REP
32,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,MACOUPIN,2227,REPUBLICAN,REP
33,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,CHAMPAIGN,10503,REPUBLICAN,REP
34,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,CLARK,2899,REPUBLICAN,REP
35,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,DeWITT,1590,REPUBLICAN,REP
36,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,LIVINGSTON,4495,REPUBLICAN,REP
37,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,CASS,697,REPUBLICAN,REP
38,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,LOGAN,3827,REPUBLICAN,REP
39,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,MENARD,1820,REPUBLICAN,REP
40,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,DOUGLAS,2547,REPUBLICAN,REP
41,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,McLEAN,12572,REPUBLICAN,REP
42,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,MASON,773,REPUBLICAN,REP
43,GP 2018,4TH APPELLATE - POPE VACANCY,1,LB,410,23482,THOMAS M.,"HARRIS, JR.",,BROWN,397,REPUBLICAN,REP
