Election,OfficeName,VoteFor,BallotGroup,OfficeSequence,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,BROWN,158,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,JERSEY,2559,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,MACOUPIN,1175,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,ADAMS,604,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,CALHOUN,302,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,PIKE,1217,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,SCOTT,446,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,MORGAN,755,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,GREENE,1127,REPUBLICAN,REP
GP 2024,100TH REPRESENTATIVE,1,J,2100,32770,"Christopher ""C.D.""",Davidsmeyer,,MADISON,2244,REPUBLICAN,REP
GP 2024,101ST REPRESENTATIVE,1,J,2101,32965,Chris G.,Miller,,MOULTRIE,64,REPUBLICAN,REP
GP 2024,101ST REPRESENTATIVE,1,J,2101,32965,Chris G.,Miller,,FORD,149,REPUBLICAN,REP
GP 2024,101ST REPRESENTATIVE,1,J,2101,32965,Chris G.,Miller,,COLES,2875,REPUBLICAN,REP
GP 2024,101ST REPRESENTATIVE,1,J,2101,32965,Chris G.,Miller,,DOUGLAS,1596,REPUBLICAN,REP
GP 2024,101ST REPRESENTATIVE,1,J,2101,32965,Chris G.,Miller,,VERMILION,804,REPUBLICAN,REP
GP 2024,101ST REPRESENTATIVE,1,J,2101,32965,Chris G.,Miller,,CHAMPAIGN,2365,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33564,"Edward ""Ed""",Blade,,LAWRENCE,2,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33564,"Edward ""Ed""",Blade,,COLES,0,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33564,"Edward ""Ed""",Blade,,EDGAR,0,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33564,"Edward ""Ed""",Blade,,DOUGLAS,0,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33564,"Edward ""Ed""",Blade,,CLARK,6,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33564,"Edward ""Ed""",Blade,,CRAWFORD,3,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33563,Adam M.,Niemerg,,CUMBERLAND,906,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33563,Adam M.,Niemerg,,VERMILION,339,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33563,Adam M.,Niemerg,,JASPER,1417,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33563,Adam M.,Niemerg,,EDGAR,446,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33563,Adam M.,Niemerg,,CLARK,1224,REPUBLICAN,REP
GP 2024,102ND REPRESENTATIVE,1,J,2102,33563,Adam M.,Niemerg,,CRAWFORD,1384,REPUBLICAN,REP
