"FIPS"	"NAME"	"ID"	"STATE"	"VERSION"	"START_DATE"	"END_DATE"	"CREATION_OR_CHANGE"	"CITATION"	"START_N"	"END_N"	"DATASET"
					02 06 1609 0:00:00		"King James I granted a new charter to the Virginia Company of London, expanding Virginia's jurisdiction westward and northwestward to the Pacific Ocean; included all of present Illinois."	"(Paullin, pl. 42; Swindler, 10:24-36; Van Zandt, 92)"	16090602		"IL_AtlasHCB"
					10 02 1763 0:00:00		"Treaty of Paris, ending the Seven Years' War between Great Britain (the victor) and France and Spain, formally transferred to the British all of Canada (territory north of the Ohio River-Great Lakes-St. Lawrence River line), including present Illinois, and implicitly set the Mississippi River as the new western limit for the British colonies."	"(Cappon, Petchenik, and Long, 1)"	17630210		"IL_AtlasHCB"
					20 05 1774 0:00:00		"The British Parliament passed the Quebec Act, placing all territory north and west of the Ohio River, including present Illinois, under the jurisdiction of the province of Quebec."	"(Cappon, Petchenik, and Long, 16, 87)"	17740520		"IL_AtlasHCB"
					04 07 1776 0:00:00		"The United States declared itself independent of Great Britain, implicitly opening the possibility that Virginia and some other states might claim territory north of the Ohio River and west of the Appalachian Mountains based on their colonial charters."	"(Declaration of Independence)"	17760704		"IL_AtlasHCB"
	"ILLINOIS (Va., extinct)"	"vas_illinois"	"VA"	"1"	09 12 1778 0:00:00	29 02 1784 0:00:00	"ILLINOIS County (Va., extinct) created by Virginia to encompass all territory north and west of the Ohio River and east of the Mississippi River, including all of present Illinois. Virginia claimed this territory on the basis of its 1609 charter."	"(Hening, 9:552-555, 10:303-304; Robinson, 55)"	17781209	17840229	"IL_AtlasHCB"
					03 09 1783 0:00:00		"Commissioners from Great Britain and the United States signed the Treaty of Paris (ratifications exchanged 12 May 1784), ending the War of the American Revolution, recognizing American independence, and generally defining U.S. territory as extending to the Great Lakes-Lake of the Woods line on the north and the Mississippi River on the west, including present Illinois."	"(Parry, 48:481, 487, 491-492; Van Zandt, 12)"	17830903		"IL_AtlasHCB"
	"ILLINOIS (Va., extinct)"	"vas_illinois"	"VA"		01 03 1784 0:00:00		"Virginia ceded to the United States its charter claims to territory ""northwestward of the river Ohio""; ILLINOIS County (Va.) eliminated."	"(Cappon, Petchenik, and Long, 62, 130-131; Hening, 11:571-575)"	17840301		"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"1"	27 04 1790 0:00:00	04 10 1795 0:00:00	"ST. CLAIR created by the Northwest Territory from non-county area."	"(Terr. Papers U.S., 3:301-303)"	17900427	17951004	"IL_AtlasHCB"
"18083"	"KNOX (Ind.)"	"ins_knox"	"IN"	"1"	20 06 1790 0:00:00	14 08 1796 0:00:00	"KNOX (Ind.) created by the Northwest Territory from non-county area; included parts of present Illinois, Indiana, Michigan, Ohio, and Wisconsin."	"(Terr. Papers U.S., 3:313)"	17900620	17960814	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"1"	05 10 1795 0:00:00	02 02 1801 0:00:00	"RANDOLPH created by the Northwest Territory from ST. CLAIR."	"(Terr. Papers U.S., 3:441)"	17951005	18010202	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"2"	05 10 1795 0:00:00	02 02 1801 0:00:00	"ST. CLAIR lost to creation of RANDOLPH."	"(Terr. Papers U.S., 3:441)"	17951005	18010202	"IL_AtlasHCB"
